AllocationUUID,AllocationOwner,OwnerClassificationCV,State,LinkFieldA,index,ContractorName,LinkFieldB,success
IDwr_WR37422,Little Wood River Irrigation District,WaDE Blank,ID,little wood river irrigation districtid,293.0,Little Wood River Irrigation District,little wood river irrigation districtid,1
IDwr_WR377880,Little Wood River Irrigation District,WaDE Blank,ID,little wood river irrigation districtid,293.0,Little Wood River Irrigation District,little wood river irrigation districtid,1
IDwr_WR6310240,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6311069,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6312585,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR63136,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR63137B,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR63200A,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6322098,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6322099,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6322101,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6322102,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR63233K,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6323844,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6323845,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6323846,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6323847,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6323848,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6323849,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6323850,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6323851,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6323852,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6323853,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6323854,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR632392F,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6331101,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6331102,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6331103,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6331104,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6333251,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6333253,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6333329,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR6333599,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR637995,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR639019,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR639206,Boise Project Board Of Control,WaDE Blank,ID,boise project board of controlid,"43.0,243.0,118.0,119.0,120.0,121.0",Boise Project Board Of Control,boise project board of controlid,1
IDwr_WR674489,Mann Creek Irrigation District,WaDE Blank,ID,mann creek irrigation districtid,308.0,Mann Creek Irrigation District,mann creek irrigation districtid,1
MTwr_WR41K4087400,Greenfields Irrigation District,WaDE Blank,MT,greenfields irrigation districtmt,"576.0,577.0,578.0,579.0,580.0,197.0,400.0,401.0,402.0,403.0,404.0,405.0,406.0,407.0,500.0",Greenfields Irrigation District,greenfields irrigation districtmt,1
MTwr_WR41K4088700,Fort Shaw Irrigation District,WaDE Blank,MT,fort shaw irrigation districtmt,179.0,Fort Shaw Irrigation District,fort shaw irrigation districtmt,1
MTwr_WR41K4088800,Fort Shaw Irrigation District,WaDE Blank,MT,fort shaw irrigation districtmt,179.0,Fort Shaw Irrigation District,fort shaw irrigation districtmt,1
